id	marque	designation	annee	km	prix
856	audi	A4 avant 2.0 tdi 140 cv s/line clim auto+j.alu 17	2006	54618	19150
857	audi	A4 avant s/line 2.0tdi 143cv navi+xenon+l 04/2009	2009	27107	32970
858	skoda	Skoda Fabia combi pack clim	2005	74500	6300
859	audi	A3 ambition facelift 2.0tdi 140cv jtes exc 03/2009	2009	9620	23970
860	renault	Renault espace 3 privilege 124000km	2001	124000	9000
861	opel	Opel zafira 120ch	2006	78000	13000
862	ford	Ford C Max Ghia 2l TDCI 34000km	2006	34000	13500
863	citroen	Xsara Picasso 2.0HDi pack	1993	155500	3950
864	peugeot	Peugeot 406 2.0 Hdi 110 CV	2000	139000	3800
865	audi	A4 cabriolet s/line 2.0tdi 140cv xenon+cuir+bose+p	2006	40935	23970
866	renault	Renault trafic passenger 1.9 dci 100ch 8places	2004	131050	12500
867	peugeot	Peugeot 206 XS 2.0L HDI 90ch	2002	118000	5400
868	peugeot	PEUGEOT 307 XT Premium	2002	184000	5200
869	renault	Renault velsatis carminat 2.2 dci 150cv	2005	91976	8990
870	alfa romeo	ALFA ROMEO 156 1.9 jtd SPORTWAGON 115cv	2001	39000	3300
871	audi	AUDI A6 TDI AVANT BREAK AMBIENTE GPS + Régulateur	2006	67500	22000
872	volkswagen	Volkswagen Jetta 1.9 TDI Comfortline Alu/	2008	31000	14990
873	opel	Opel Astra 2.0l DTI 16S édition GPS	2001	152000	4800
874	renault	Laguna estate	2006	95500	10800
875	audi	A4 ambiente 2.0 tdi 143 cv navi+xenon+leds 09/2008	2008	26975	26450
876	opel	Opel Astra 2.0l DTI 16S édition GPS	2001	152000	4800
877	renault	Laguna Initiale 1.9 DCI 120	2003	106000	8900
878	peugeot	Peugeot 807 2.2 hdi 136ch	2007	200000	14700
879	audi	Audi a4 avant 2.0 tdi 140 ch ambiente bv6	2006	68900	17990
880	citroen	CITROEN Xsara 2.0 VTS 137 ch	2001	115000	4000
881	renault	Grand Espace IV 2.0 DCI 175 FAP Alyum Plus	2007	51000	22000
882	opel	Opel zafira 1.9 CDTI 120ch cosmo fap	2007	84000	13000
883	renault	RENAULT CLIO RS 2.0 16V Phase III 200 cv	2007	28973	14500
884	renault	Renault Espace IV(2) 2.0L DCI 150cv Privilége	2007	39000	12590
885	mini	Subaru impreza wrx 225 cv	2003	118165	12400
886	volkswagen	NEW BEETLE - 1.9 TDI 90 - modele 2000	1999	205000	5900
887	renault	Megane II 1.9 dci 120 ch luxe privilege	2003	138000	7500
888	renault	Renault Megane II Classic 1.9 dci 120cv 33 000km	2005	33000	8390
889	volkswagen	Volkswagen Passat CC 2.0 TDI Sportline&virgule; Navi&virgule; PD	2009	28000	24990
890	audi	Audi a3 sportback 1.9 l tdi 105 cv ambition faceli	2008	26500	21900
891	volkswagen	Volkswagen Passat CC 2.0 TDI Sportline&virgule; Navi&virgule; PD	2009	28000	24990
892	audi	Volvo c30 2.0 d 136cv momentum	2007	50500	15990
893	audi	Audi 2.5 TDI 5 cylindres	1992	45000	2800
894	peugeot	Peugeot 206 Quicksilver 2.0l hdi	2002	160000	5000
895	honda	Honda accord 2.2 ctdi sport	2007	84000	15500
896	audi	Audi A3 Sportback 2.0 TDI 170 ch Quattro S Line	2006	124000	16800
897	chrysler	Chrysler PT Cruiser 2.2 CRD Route 66	2006	83000	12600
898	peugeot	PEUGEOT 307 XS 5Ptes 2.0 HDI 110 - Diesel	2003	133000	6500
899	renault	Renault Espace 2.2 DCi The Race 2002	2002	195000	5500
900	mini	Citroen Xsara 2 exclusive 2.0 HDI 90cv an2002 CTOK	2002	130000	3990
901	renault	Renault senic II dci	2003	126220	8380
902	audi	SAAB 9-3 2.0t SE 150 cv	2001	80000	5700
903	renault	Renault Espace 2.2 DCi The Race 2002	2002	195000	5500
904	renault	Laguna ii 1.9 dci 120 cv dynamique bv6	2001	119000	5500
905	audi	AUDI A4 1&virgule;9 TDI pack plus 130 ch	2001	94500	9900
906	audi	Audi A4 2&virgule;0 TDI Ambition 03/08 29500km Ref:B2	2008	29500	24990
907	alfa romeo	Alfa Romeo 147 1.9 JTD	2006	86500	9990
908	audi	Laguna 2 Estate 2.2l DCI Luxe Privilège 150cv	2005	169000	7000
909	citroen	Citroen c5 2.2hdi 136ch	2003	196000	3500
910	mini	Suzuki vitara 2.0 td modele 1999	1998	230000	3800
911	renault	Renault espace 4 dci2.2 / 150 cv	2003	155000	8900
912	peugeot	Peugeot 206 SW XS 2.0 HDI 90ch	2003	91000	7600
913	nissan	NISSAN X TRAIL phase 3 2.2 DCI confort pack family	2005	81800	12500
914	citroen	Belle citroen xsara 2.0 hdi 90ch exclusive	2001	203120	3790
915	nissan	NISSAN X TRAIL phase 3 2.2 DCI confort pack family	2005	81800	12500
916	opel	Zafira 1.9cdti enjoy	2006	105000	10500
917	renault	Laguna 2estate 1.9 dci 125cv confcarminat 2006 gps	2006	92545	7900
918	ferrari	Fiat stilo schumacher	2005	103000	11000
919	peugeot	Peugeot 406 1.9l turbo diesel	1998	275000	2350
920	lexus	"Audi A3 1.9 TDI 130CV Pack S-Line GPS&virgule;XENONE&virgule;JA19"""	2002	119000	9500
921	audi	Audi a3 sportback 2.0 tdi 140 cv 2005	2005	94500	13500
